Txn_Date,Product_Id,Product_Type,Zip,Total_Sales_sum
2021-01,6,Gates,30007,350.0
2021-01,3,Beds,30050,330.0
2021-01,9,Bowls,30023,10.0
2021-01,4,Kennel,30093,240.0
2021-01,5,Attire,30008,20.0
2021-01,9,Bowls,30045,50.0
2021-01,6,Gates,30003,350.0
2021-01,7,Crate,30057,60.0
2021-01,13,Leashes,30002,80.0
2021-02,5,Attire,30058,20.0
2021-02,3,Beds,30046,150.0
2021-02,1,Collar,30039,80.0
2021-02,2,Leashes,30020,100.0
2021-02,5,Attire,30064,50.0
2021-02,1,Collar,30087,70.0
2021-02,11,Toys,30081,125.0
2021-02,10,"Grooming Supplies",30084,100.0
2021-02,11,Toys,30033,150.0
2021-02,10,"Grooming Supplies",30063,75.0
2021-02,1,Collar,30048,80.0
2021-02,20,Bowls,30074,10.0
2021-02,2,Leashes,30099,160.0
2021-02,13,Leashes,30017,40.0
2021-03,9,Bowls,30094,40.0
2021-03,8,"Exercise Pen",30087,200.0
2021-03,18,Crate,30039,60.0
2021-03,9,Bowls,30087,20.0
2021-03,1,Collar,30092,10.0
2021-03,17,Gates,30001,100.0
2021-03,2,Leashes,30045,60.0
2021-03,9,Bowls,30008,40.0
2021-03,21,"Grooming Supplies",30099,25.0
2021-03,14,Beds,30030,30.0
2021-03,19,"Exercise Pen",30045,100.0
2021-03,15,Kennel,30049,80.0
2021-03,4,Kennel,30014,160.0
2021-03,7,Crate,30084,60.0
2021-03,4,Kennel,30064,80.0
2021-03,7,Crate,30056,120.0
2021-03,8,"Exercise Pen",30052,200.0
2021-03,10,"Grooming Supplies",30081,25.0
2021-03,1,Collar,30017,20.0
2021-04,9,Bowls,30031,10.0
2021-04,9,Bowls,30081,20.0
2021-04,4,Kennel,30039,40.0
2021-04,1,Collar,30079,10.0
2021-04,4,Kennel,30064,80.0
2021-04,5,Attire,30066,20.0
2021-04,10,"Grooming Supplies",30052,25.0
2021-04,4,Kennel,30025,40.0
2021-04,2,Leashes,30067,60.0
2021-04,6,Gates,30007,100.0
2021-04,3,Beds,30001,30.0
2021-04,6,Gates,30019,100.0
2021-04,16,Attire,30075,10.0
2021-05,12,Collar,30022,10.0
2021-05,8,"Exercise Pen",30010,100.0
2021-05,6,Gates,30076,50.0
2021-05,1,Collar,30060,20.0
2021-05,11,Toys,30031,50.0
2021-05,10,"Grooming Supplies",30065,100.0
2021-05,6,Gates,30098,100.0
2021-05,4,Kennel,30090,80.0
2021-05,3,Beds,30075,30.0
2021-05,9,Bowls,30057,20.0
2021-05,8,"Exercise Pen",30019,200.0
2021-05,19,"Exercise Pen",30077,100.0
2021-05,19,"Exercise Pen",30053,200.0
2021-05,8,"Exercise Pen",30023,100.0
2021-05,12,Collar,30073,20.0
2021-06,6,Gates,30065,100.0
2021-06,20,Bowls,30077,10.0
2021-06,2,Leashes,30039,80.0
2021-06,5,Attire,30090,10.0
2021-06,2,Leashes,30025,20.0
2021-06,12,Collar,30026,10.0
2021-06,1,Collar,30076,10.0
2021-06,7,Crate,30043,60.0
2021-06,11,Toys,30040,50.0
2021-06,4,Kennel,30060,40.0
2021-06,17,Gates,30006,100.0
2021-06,5,Attire,30082,20.0
2021-06,17,Gates,30069,100.0
2021-06,9,Bowls,30040,20.0
2021-06,7,Crate,30089,120.0
2021-06,14,Beds,30010,60.0
2021-07,11,Toys,30051,50.0
2021-07,10,"Grooming Supplies",30098,25.0
2021-07,6,Gates,30033,50.0
2021-07,22,Toys,30046,25.0
2021-07,2,Leashes,30089,40.0
2021-07,6,Gates,30071,50.0
2021-07,11,Toys,30004,50.0
2021-08,11,Toys,30006,50.0
2021-08,5,Attire,30002,40.0
2021-08,19,"Exercise Pen",30035,100.0
2021-08,10,"Grooming Supplies",30013,25.0
2021-08,12,Collar,30008,20.0
2021-08,1,Collar,30047,10.0
2021-08,3,Beds,30019,60.0
2021-08,5,Attire,30054,40.0
2021-08,7,Crate,30086,120.0
2021-08,4,Kennel,30052,40.0
2021-08,5,Attire,30044,10.0
